season,champion_team,team_code,player_id,player_name,player_url,number,position,height,weight,birth_date,birth_place,experience,college,age,games,minutes,win_shares
2020-21,Milwaukee Bucks,MIL,adamsja01,Jaylen Adams,https://www.basketball-reference.com/players/a/adamsja01.html,6,PG,6-0,225,1996-05-04,us US,2,St. Bonaventure,24,7,18,-0.1
2020-21,Milwaukee Bucks,MIL,antetgi01,Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,34,PF,6-11,243,1994-12-06,gr GR,7,,26,61,2013,10.2
2020-21,Milwaukee Bucks,MIL,antetth01,Thanasis Antetokounmpo,https://www.basketball-reference.com/players/a/antetth01.html,43,SF,6-7,219,1992-07-18,gr GR,2,,28,57,551,0.7
2020-21,Milwaukee Bucks,MIL,augusdj01,D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,12,PG,5-11,183,1987-11-10,us US,12,Texas,33,57,1129,2.1
2020-21,Milwaukee Bucks,MIL,bryanel01,Elijah Bryant,https://www.basketball-reference.com/players/b/bryanel01.html,3,SG,6-5,210,1995-04-19,us US,R,"Elon University , BYU",25,1,32,0.0
2020-21,Milwaukee Bucks,MIL,connapa01,Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html,24,SG,6-5,209,1993-01-06,us US,5,Notre Dame,28,69,1575,3.5
2020-21,Milwaukee Bucks,MIL,craigto01,Torrey Craig,https://www.basketball-reference.com/players/c/craigto01.html,3,SF,6-5,221,1990-12-19,us US,3,USC Upstate,30,50,803,2.2
2020-21,Milwaukee Bucks,MIL,diakima01,Mamadi Diakite,https://www.basketball-reference.com/players/d/diakima01.html,25,PF,6-9,228,1997-01-21,gn GN,R,Virginia,24,14,141,0.3
2020-21,Milwaukee Bucks,MIL,divindo01,Donte DiVincenzo,https://www.basketball-reference.com/players/d/divindo01.html,0,SG,6-4,203,1997-01-31,us US,2,Villanova,24,66,1814,3.6
2020-21,Milwaukee Bucks,MIL,forbebr01,Bryn Forbes,https://www.basketball-reference.com/players/f/forbebr01.html,7,SG,6-2,205,1993-07-23,us US,4,Michigan State,27,70,1354,2.7
2020-21,Milwaukee Bucks,MIL,holidjr01,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,21,PG,6-4,220,1990-06-12,us US,11,UCLA,30,59,1907,6.6
2020-21,Milwaukee Bucks,MIL,jacksju01,Justin Jackson,https://www.basketball-reference.com/players/j/jacksju01.html,44,SF,6-8,220,1995-03-28,us US,3,UNC,25,34,577,0.2
2020-21,Milwaukee Bucks,MIL,kurucro01,Rodions Kurucs,https://www.basketball-reference.com/players/k/kurucro01.html,00,SF,6-9,228,1998-02-05,lv LV,2,,22,21,125,-0.1
2020-21,Milwaukee Bucks,MIL,lopezbr01,Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html,11,C,7-1,282,1988-04-01,us US,12,Stanford,32,70,1902,5.3
2020-21,Milwaukee Bucks,MIL,merrisa01,Sam Merrill,https://www.basketball-reference.com/players/m/merrisa01.html,15,SG,6-4,205,1996-05-15,us US,R,Utah State University,24,30,233,0.5
2020-21,Milwaukee Bucks,MIL,middlkh01,Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html,22,SF,6-7,222,1991-08-12,us US,8,Texas A&M,29,68,2269,6.4
2020-21,Milwaukee Bucks,MIL,nworajo01,Jordan Nwora,https://www.basketball-reference.com/players/n/nworajo01.html,13,SF,6-8,225,1998-09-09,us US,R,Louisville,22,30,274,0.4
2020-21,Milwaukee Bucks,MIL,portibo01,Bobby Portis,https://www.basketball-reference.com/players/p/portibo01.html,9,C,6-9,250,1995-02-10,us US,5,Arkansas,25,66,1372,4.8
