season,player_id,player_name,player_url,age,team,position,games,games_started,minutes,win_shares,ws_per_48,bpm,vorp
2021-22,hintona01,Nate Hinton,https://www.basketball-reference.com/players/h/hintona01.html,22,IND,SG,2,0,2,-0.1,-1.231,-42.6,0.0
2021-22,johnsda08,David Johnson,https://www.basketball-reference.com/players/j/johnsda08.html,20,TOR,SG,2,0,2,0.0,-0.495,-27.7,0.0
2021-22,belljo01,Jordan Bell,https://www.basketball-reference.com/players/b/belljo01.html,27,CHI,C,1,0,2,0.0,0.6,2.7,0.0
2021-22,hallty01,Tyler Hall,https://www.basketball-reference.com/players/h/hallty01.html,24,NYK,SG,1,0,2,0.0,0.007,-8.5,0.0
2021-22,johnsjo02,Joe Johnson,https://www.basketball-reference.com/players/j/johnsjo02.html,40,BOS,SG,1,0,2,0.0,0.335,15.0,0.0
2021-22,milescj01,C.J. Miles,https://www.basketball-reference.com/players/m/milescj01.html,34,BOS,SG,1,0,2,0.0,0.03,-16.3,0.0
2021-22,moonema01,Matt Mooney,https://www.basketball-reference.com/players/m/moonema01.html,25,NYK,SG,1,0,2,0.0,-0.915,-22.3,0.0
2021-22,caverah01,Ahmad Caver,https://www.basketball-reference.com/players/c/caverah01.html,25,IND,SG,1,0,1,0.0,1.204,36.9,0.0
2021-22,dekkesa01,Sam Dekker,https://www.basketball-reference.com/players/d/dekkesa01.html,27,TOR,PF,1,0,1,0.0,0.003,-9.6,0.0
2021-22,jarrede01,DeJon Jarreau,https://www.basketball-reference.com/players/j/jarrede01.html,24,IND,SG,1,0,1,0.0,-0.022,-8.0,0.0
2021-22,murkead01,Ade Murkey,https://www.basketball-reference.com/players/m/murkead01.html,24,SAC,SG,1,0,1,0.0,-0.017,-9.7,0.0
2022-23,bridgmi01,Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html,26,2TM,SG,83,83,2963,7.5,0.121,1.7,2.8
2022-23,bridgmi01,Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html,26,PHO,SF,56,56,2040,4.9,0.116,1.0,1.6
